# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
257968,7,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
257968,11,1,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
257968,12,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258129,1,1,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258129,17,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258152,1,0,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258155,1,1,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258155,14,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258156,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258157,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258210,1,1,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258213,1,1,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258213,12,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258287,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258434,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258432,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258440,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258442,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258443,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258444,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258446,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258448,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258656,1,4,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258656,70,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
258690,1,4,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
259721,1,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272760,1,0,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
272760,11,11,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272774,1,0,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
272774,10,10,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272771,1,0,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
272771,4,11,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272775,1,10,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272775,119,11,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272775,125,10,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272776,1,10,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272776,37,11,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272776,48,10,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272829,1,7,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272828,1,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272828,50,7,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272827,1,0,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
272827,12,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
256925,1,4,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
256926,1,4,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
256926,41,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
260571,1,4,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
260568,None,None,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3,ONE,L1_Mu20_EG10
260572,1,4,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
260576,1,4,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
260577,1,4,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
260570,1,4,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
260575,1,4,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272922,1,0,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
272922,19,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272924,1,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272927,1,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272927,11,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272927,64,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272929,None,None,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3,ONE,L1_Mu20_EG10
272930,1,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272930,17,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272930,156,0,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
272930,160,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272921,1,0,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
