#Data tag : v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
274440:4990,06/05/16 19:32:38,402,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,67.961,65.180
274441:4990,06/05/16 22:13:06,431,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,67.851,65.643
274442:4990,06/06/16 01:05:09,752,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,105.162,101.739
274954:5005,06/11/16 09:40:51,20,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,1.190,0.991
274955:5005,06/11/16 09:52:07,91,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,5.140,4.904
274968:5013,06/11/16 22:51:22,1192,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,207.879,198.787
274969:5013,06/12/16 06:41:54,1003,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,139.618,130.137
274970:5013,06/12/16 13:12:54,47,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,5.862,4.426
274971:5013,06/12/16 13:33:30,905,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,103.787,100.583
274998:5017,06/13/16 04:19:54,719,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,122.581,115.887
274999:5017,06/13/16 09:04:45,1241,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,173.325,167.347
275000:5017,06/13/16 17:15:35,136,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,16.815,16.276
275001:5017,06/13/16 18:12:42,2057,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,209.271,203.827
275059:5020,06/14/16 16:49:52,37,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,6.877,6.238
275066:5020,06/14/16 17:45:35,96,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,19.693,18.717
275067:5020,06/14/16 18:28:40,392,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,75.485,72.729
275068:5020,06/14/16 21:09:42,915,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,151.734,145.890
275073:5020,06/15/16 03:32:47,517,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,72.504,69.946
275074:5020,06/15/16 07:00:06,646,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,80.523,78.015
275124:5021,06/15/16 17:50:26,324,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,59.979,57.282
275125:5021,06/15/16 20:00:21,989,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,160.053,153.206
