#Data tag : v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
283407:5423,10/17/16 21:54:07,33,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,11.081,9.951
283408:5423,10/17/16 22:10:43,2344,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,483.967,467.533
283416:5423,10/18/16 15:16:09,195,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,22.935,22.306
283453:5424,10/18/16 19:07:49,455,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,130.871,125.417
283469:5426,10/19/16 01:09:36,1,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,0.340,0.032
283478:5427,10/19/16 04:13:19,874,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,222.718,214.416
283548:5433,10/19/16 22:58:39,144,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,30.349,29.351
283680:5437,10/21/16 03:17:51,81,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,20.118,19.335
283681:5437,10/21/16 03:56:07,17,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,4.101,3.896
283682:5437,10/21/16 04:08:38,384,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,84.471,81.925
283685:5437,10/21/16 06:39:38,314,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,22.016,20.937
283820:5439,10/21/16 20:48:18,1482,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,274.772,265.822
283830:5439,10/22/16 06:27:24,722,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,108.171,105.225
283834:5439,10/22/16 11:11:28,81,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,10.572,9.286
283835:5439,10/22/16 11:45:28,111,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,13.384,11.666
283865:5441,10/22/16 17:30:09,1177,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,279.348,270.062
283876:5442,10/23/16 03:38:50,657,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,173.444,166.990
283877:5442,10/23/16 07:59:53,1496,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,260.338,252.214
283884:5443,10/23/16 23:44:05,404,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,108.696,103.871
283885:5443,10/24/16 02:25:30,1723,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,306.740,298.067
283933:5446,10/24/16 18:32:31,145,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,42.957,41.003
283934:5446,10/24/16 19:33:15,1258,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,285.920,275.397
283946:5448,10/25/16 07:30:41,1377,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,318.400,306.554
283964:5448,10/25/16 16:29:30,388,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,62.241,60.336
284006:5450,10/26/16 01:53:26,318,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,61.216,59.131
284014:5450,10/26/16 03:59:16,266,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,50.380,49.047
284025:5451,10/26/16 08:56:43,48,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,12.839,12.406
284029:5451,10/26/16 09:19:00,112,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,32.329,30.464
284035:5451,10/26/16 10:04:52,360,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,92.406,89.360
284036:5451,10/26/16 12:28:09,346,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,76.505,73.364
284037:5451,10/26/16 14:48:03,340,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,65.981,63.958
284038:5451,10/26/16 17:02:16,55,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,9.961,9.343
284039:5451,10/26/16 17:27:02,30,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,5.336,4.924
284040:5451,10/26/16 17:42:18,33,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v4,5.803,5.592
