# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
272927,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
272927,11,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
272927,64,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
272929,None,None,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2,OR,L1_DoubleMu_11_4 L1_DoubleMu_12_5
272930,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
272930,17,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
272930,156,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272930,160,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
272935,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
272935,5,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
272935,30,12,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/0 L1_DoubleMu_12_5/0
272935,66,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
272936,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
